,S,M,C,S^2,S M,S C,M^2,M C,C^2,S^3,S^2 M,S^2 C,S M^2,S M C,S C^2,M^3,M^2 C,M C^2,C^3,min(group_1),max(group_1),mean(group_1),std(group_1),median(group_1),mode(group_1)
970,4.0207553,0.49058354,3.8591,3.3679523,0.85181785,4.3904767,0.44744465,1.2670192,5.090193,4.117948,1.5676838,5.350892,0.75361013,2.1593654,6.3189974,0.4030715,1.0543301,2.8679383,7.19494,0.5048292,3.8087895,2.7932546,1.0025275,3.9542985,0.5048292
225,13.384824,0.6555084,10.180362,13.167036,1.5121596,15.690666,0.78982276,2.386032,15.585889,17.96638,4.0323606,21.970844,1.6149448,5.613651,22.907738,0.9284278,2.2356324,7.422455,23.206821,0.682709,9.966502,7.5759845,2.7608562,13.021715,0.682709
436,9.391402,0.5964093,7.384128,8.9879465,1.3025318,10.708781,0.66649675,1.9830809,10.941732,12.08422,3.1688066,14.692499,1.3402975,4.3087916,15.609448,0.7396941,1.8300143,5.6005726,16.142769,0.6183674,7.2498503,5.480304,1.9872395,9.167628,0.6183674
697,6.144609,0.4634189,5.46924,5.575602,0.93760526,7.0555325,0.39482406,1.4186764,7.7545347,7.248231,2.0095983,9.18802,0.7895793,2.7778835,10.354954,0.32915446,1.1197246,3.6893904,11.279071,0.47600126,5.3833594,3.8066936,1.5793899,6.0213823,0.47600126
120,15.965154,0.65290797,15.670806,15.843747,1.559803,22.558966,0.7844873,2.7010891,24.620043,21.711214,4.3273563,30.314205,1.6517856,6.6093936,34.42896,0.92050683,2.4387956,9.526688,36.91664,0.6798627,15.278641,10.596647,4.619417,15.505172,0.6798627
339,11.041742,0.60539275,8.358807,10.719646,1.3682736,12.577149,0.6854332,2.097788,12.563111,14.527202,3.470669,17.505493,1.4136988,4.7329717,18.28083,0.76925606,1.9324944,6.1572843,18.611235,0.62810194,8.197856,6.2041225,2.2861884,10.762156,0.62810194
258,12.59911,0.4065844,13.104443,12.3480215,1.0517735,18.036236,0.2933631,1.8408697,20.412203,16.817158,2.770292,23.835886,0.798738,4.313479,27.803091,0.2018434,1.3165545,6.3337092,30.53398,0.4160708,12.798704,8.154183,4.2184277,12.264519,0.4160708
283,12.092707,0.37481108,11.51386,11.81923,0.978091,16.251686,0.24278487,1.654958,17.791088,16.07428,2.5630505,21.78797,0.6826014,3.8737035,24.668756,0.14762333,1.1078625,5.545971,26.555853,0.38278258,11.259066,7.282943,3.7124844,11.776232,0.38278258
323,11.273575,0.59134215,13.097587,10.962444,1.3504714,17.131674,0.6558053,2.3867588,20.400927,14.8690815,3.4403803,22.115046,1.3758472,5.4088316,26.910864,0.72295403,2.1085594,8.010967,30.51687,0.61288345,12.792074,8.41161,3.9479148,10.985936,0.61288345
98,16.598686,0.6785175,15.304238,16.497803,1.6139264,22.602762,0.8364836,2.759443,24.020596,22.623852,4.528115,30.740356,1.7329787,6.8109603,34.1405,0.9964183,2.5243857,9.671268,36.00757,0.70795864,14.924711,10.622738,4.412048,16.11423,0.70795864
876,4.6437035,0.50956184,4.2711387,4.0101705,0.9289669,5.1104984,0.48543262,1.378044,5.768602,5.026226,1.8092872,6.4086094,0.8541787,2.4668221,7.389058,0.45894766,1.181121,3.24121,8.236901,0.5250433,4.2122545,3.1162894,1.1130756,4.561534,0.5250433
369,10.444251,0.6519942,11.670093,10.093331,1.4309943,15.320074,0.7826096,2.4775863,18.04899,13.644566,3.5933065,19.852451,1.5397979,5.5268517,23.899107,0.91771257,2.2904828,8.027482,26.947386,0.6788628,11.410393,7.8219967,3.3310413,10.185184,0.6788628
189,14.164172,0.463655,15.091381,13.97763,1.1939234,20.862438,0.39527127,2.1138995,23.67227,19.102177,3.2138665,27.547411,1.0237346,5.0479846,32.284748,0.32976285,1.645606,7.4696217,35.479298,0.47625127,14.719148,9.446943,4.8133216,13.772305,0.47625127
187,14.208656,0.5605733,15.44393,14.023841,1.3676869,21.208624,0.5909553,2.418416,24.249092,19.166882,3.676355,27.907557,1.3431357,5.76322,32.928093,0.62119615,2.0682397,8.5142765,36.354095,0.5796901,15.059596,9.886394,4.775387,13.815133,0.5796901
984,3.911634,0.61227214,6.097184,3.256178,1.0452954,6.014442,0.69990873,1.889625,8.799183,3.9603379,1.9313134,6.772875,1.1269526,3.2233152,9.799027,0.7917552,1.7928296,5.003458,12.875298,0.6355675,5.9960785,3.987519,1.6378053,3.8478374,0.6355675
886,4.550577,0.66146845,6.045773,3.9137774,1.1796569,6.481077,0.80200726,2.0191069,8.713612,4.8896737,2.3217561,7.6420608,1.3302957,3.6183581,10.257059,0.94640946,1.9893355,5.3168325,12.744632,0.68923837,5.9459386,4.2454743,1.4961865,4.470811,0.68923837
503,8.3816805,0.38133097,8.56311,7.926381,0.882868,11.214581,0.25277,1.4802911,12.902672,10.58264,2.0942297,14.600278,0.6141154,3.1707182,17.161736,0.15778367,0.9947257,4.549885,19.127844,0.389601,8.396415,5.3887706,2.7216396,8.190621,0.389601
770,5.439625,0.5468037,8.045375,4.8380575,1.0428517,8.673934,0.56211746,1.906557,12.041951,6.200781,2.152498,10.253107,1.0200562,3.5855448,14.145698,0.5761736,1.6700263,5.5595636,17.818115,0.56489295,7.893135,4.9699965,2.383804,5.336198,0.56489295
937,4.226882,0.46995407,4.0902753,3.5797334,0.83312196,4.70797,0.40727177,1.2523298,5.470393,4.41702,1.5616027,5.7766266,0.70557415,2.173427,6.832708,0.34622332,1.0023104,2.9127586,7.7790666,0.48292542,4.0352035,2.8935246,1.108169,4.1553235,0.48292542
665,6.4529796,0.39387438,6.599458,5.8990088,0.8290869,8.247527,0.27255788,1.3506253,9.635378,7.7075024,1.810905,10.5363865,0.58895177,2.6928835,12.520583,0.17871991,0.925837,3.8105347,14.151425,0.4027366,6.485705,4.23192,2.0472887,6.3208323,0.4027366
401,9.910513,0.38755476,10.473224,9.533207,0.9440515,13.909166,0.2624943,1.6308225,16.070782,12.854315,2.3451197,18.160027,0.67471313,3.6299164,21.475199,0.16794091,1.1187391,5.3036203,23.94344,0.39611575,10.2505245,6.4972925,3.35949,9.66948,0.39611575
306,11.628967,0.3773782,11.339597,11.334387,0.97161275,15.800632,0.24669148,1.6527109,17.503304,15.392512,2.520213,21.06411,0.6813805,3.830628,24.078787,0.15156564,1.1120119,5.511144,26.118925,0.38546646,11.090248,7.1382275,3.6534176,11.32889,0.38546646
392,10.061036,0.67813224,10.53667,9.691227,1.4641694,14.064784,0.8357114,2.4776714,16.175787,13.077344,3.6525683,18.405148,1.6068335,5.4814067,21.683105,0.99531317,2.3414938,7.785751,24.10294,0.707535,10.312043,7.332128,2.876021,9.814947,0.707535
603,7.100236,0.48199767,9.523202,6.578806,1.015096,11.116652,0.4305707,1.8426099,14.496668,8.672471,2.276585,13.659525,0.8898589,3.729447,17.871418,0.3788839,1.4843789,5.7077174,21.551636,0.49570435,9.328856,5.7822123,2.9573834,6.948892,0.49570435
726,5.8692408,0.47706822,5.2170687,5.287168,0.9471334,6.666253,0.42098024,1.4239198,7.3355017,6.838581,1.9995917,8.644097,0.81977737,2.747988,9.750348,0.36533183,1.1516997,3.6312566,10.638078,0.490471,5.137105,3.675785,1.4761775,5.7538495,0.490471
84,17.010653,0.3808662,15.394301,16.922445,1.0903686,22.937439,0.25205132,1.871289,24.167923,23.215899,3.0883198,31.315304,0.78859127,4.6975155,34.538395,0.15704323,1.2796671,6.7589636,36.231,0.38911483,15.011676,9.821202,4.995823,16.510149,0.38911483
353,10.741861,0.38154233,10.873972,10.405399,0.95631474,14.810586,0.25309706,1.6375461,16.73377,14.084479,2.42899,19.553045,0.6753302,3.7216132,22.70701,0.1581211,1.1102653,5.391094,24.9504,0.38982219,10.639035,6.7979927,3.4963088,10.472615,0.38982219
459,9.042922,0.52239925,7.055316,8.621692,1.1618385,10.193591,0.5115926,1.7473016,10.394367,11.566489,2.7915964,13.976011,1.0916283,3.7789142,14.815571,0.49838787,1.4977456,4.902735,15.3087,0.53875196,6.929747,5.0878673,2.0181954,8.830569,0.53875196
819,5.0702753,0.613133,4.750391,4.453076,1.132987,5.7801433,0.70171815,1.7157564,6.561244,5.6542974,2.2983236,7.3098326,1.2107432,3.1551383,8.467985,0.79456043,1.6615227,4.157848,9.452473,0.63650227,4.681057,3.6339324,1.0995325,4.976867,0.63650227
393,10.035283,0.6578321,11.209682,9.664194,1.428661,14.639465,0.7945807,2.4645834,17.288681,13.039192,3.5535777,18.938513,1.546445,5.448061,22.83129,0.93546754,2.2931888,7.890395,25.79305,0.6852538,10.964376,7.5617085,3.1645772,9.79006,0.6852538
160,14.9467325,0.6868512,11.968252,14.789719,1.5974966,18.361933,0.85311013,2.598999,18.540913,20.238527,4.3835254,25.552156,1.7309176,6.2668853,27.080526,1.0200397,2.4378126,8.483327,27.69412,0.7171328,11.699128,8.791724,3.2637227,14.525541,0.7171328
989,3.881332,0.47717425,6.159457,3.2251842,0.81871927,6.032485,0.42118573,1.5328096,8.902839,3.916668,1.4837549,6.766533,0.703363,2.5836594,9.865624,0.3656206,1.2369195,4.1429906,13.03356,0.4905836,6.056805,3.7045717,1.8502518,3.8182693,0.4905836
978,3.9638762,0.65873307,4.476469,3.30966,1.1284246,4.8548546,0.7964231,1.7953886,6.1078157,4.0357294,2.1120026,5.757588,1.2787942,3.065641,7.3019395,0.9381872,1.8167272,4.245302,8.757346,0.68624073,4.413168,3.4349997,0.95503443,3.89881,0.68624073
513,8.268777,0.62468517,6.919824,7.807636,1.3111597,9.632645,0.7259414,2.0147605,10.168785,10.414492,3.0892737,12.975578,1.3921897,4.2394876,14.156874,0.8319363,1.9112898,5.5604205,14.964836,0.64906216,6.7977986,5.1778836,1.7778397,8.081301,0.64906216
894,4.488023,0.45820704,6.717132,3.8490968,0.8318932,6.9278917,0.38500085,1.538802,9.8313055,4.7980824,1.5950581,8.000444,0.6869238,2.7216625,11.25633,0.31588438,1.2018698,4.297288,14.450255,0.47048417,6.6003575,4.028501,2.05338,4.409861,0.47048417
405,9.872618,0.3981749,8.540774,9.493417,0.9630679,12.10614,0.27951378,1.5277951,12.865555,12.798143,2.3864794,16.372047,0.7079321,3.4160323,18.00572,0.18632667,1.0659257,4.6688023,19.07138,0.40724564,8.374709,5.6384454,2.6883566,9.6328535,0.40724564
814,5.1113048,0.47955716,4.6875176,4.4957805,0.90830183,5.7494683,0.42581347,1.361704,6.457088,5.714898,1.8286933,7.303669,0.788283,2.5176518,8.383025,0.37214327,1.1077837,3.3358753,9.292851,0.49311295,4.6195817,3.3221102,1.2954313,5.0167966,0.49311295
194,14.09053,0.37084287,11.889154,13.9011135,1.015123,17.800766,0.23680978,1.6640319,18.410446,18.99503,2.7615538,24.501577,0.7071059,4.044206,26.482023,0.14167605,1.1054894,5.631951,27.49608,0.3786356,11.622538,7.736971,3.834374,13.7014,0.3786356
121,15.927535,0.6092196,16.339615,15.804871,1.485362,23.154997,0.693489,2.6033273,25.712421,21.65694,4.1045403,30.869175,1.5236174,6.3591576,35.5938,0.7817891,2.290691,9.291864,38.573128,0.63225365,15.924157,10.743366,4.9585915,15.468998,0.63225365
540,7.9068003,0.6498982,6.9993696,7.4269094,1.3403267,9.499089,0.77829766,2.0935316,10.301225,9.875135,3.12701,12.633875,1.4570116,4.356232,14.100752,0.911283,2.019799,5.792067,15.166727,0.67656994,6.875268,5.237442,1.7528465,7.7307076,0.67656994
860,4.7270846,0.5452434,7.2858253,4.0965743,0.9948556,7.533902,0.5588619,1.8323386,10.778103,5.1486773,1.9556179,8.713722,0.972385,3.3044586,12.343181,0.57111305,1.6106367,5.179147,15.8934765,0.5632185,7.1541667,4.4963374,2.1378715,4.642748,0.5632185
590,7.299043,0.5591622,6.019208,6.7877874,1.1584138,8.226797,0.5879924,1.7368553,8.669399,8.968961,2.6232414,11.014648,1.1481022,3.5467668,11.985098,0.6165571,1.5664378,4.6012444,12.677114,0.57817215,5.9200296,4.436525,1.6114229,7.1416807,0.57817215
673,6.38623,0.5845111,5.5029044,5.828973,1.1592852,7.2260885,0.6413883,1.7423184,7.8105006,7.6080527,2.5261152,9.496033,1.1896042,3.4272501,10.55121,0.70034283,1.6231475,4.4628315,11.364649,0.60549855,5.416225,4.119725,1.3954967,6.2560263,0.60549855
222,13.469505,0.53636485,9.4242935,13.255199,1.3092153,14.946687,0.54039705,1.9896922,14.332595,18.089989,3.4751797,21.250156,1.2507907,4.711958,21.494963,0.54252046,1.710255,6.0965195,21.302242,0.5536982,9.232844,6.8503304,2.7756858,13.103293,0.5536982
221,13.490781,0.4937324,9.521176,13.277348,1.2338885,15.060039,0.45368454,1.8759403,14.493309,18.121038,3.2789478,21.378958,1.1111223,4.4617643,21.692945,0.4121205,1.5346882,5.799402,21.54653,0.50817895,9.32689,6.7944775,2.881929,13.123789,0.50817895
826,4.989523,0.6447728,6.893215,4.369075,1.1817625,7.4556923,0.76772463,2.0680013,10.124484,5.535113,2.3943172,8.83241,1.3059759,3.809399,11.953721,0.8954442,1.9909793,5.6940885,14.897296,0.67096734,6.771883,4.650512,1.8162581,4.89827,0.67096734
462,8.992076,0.62729275,7.375621,8.568237,1.3420868,10.479701,0.7313921,2.0683017,10.927571,11.490899,3.235127,14.237338,1.4239668,4.443108,15.384474,0.8402956,1.9557011,5.8268723,16.121197,0.6519009,7.24157,5.508696,1.9198052,8.781378,0.6519009
228,13.275294,0.68636024,12.552694,13.052971,1.5618463,17.956345,0.8521349,2.6334283,19.504128,17.806425,4.171001,24.175762,1.7007465,6.200125,27.235657,1.0186638,2.4590693,8.717071,29.156027,0.7165919,12.264872,8.82934,3.491502,12.916189,0.7165919
206,13.779396,0.6814805,13.221131,13.577654,1.5646324,18.896418,0.8424132,2.6579988,20.604094,18.541927,4.212099,25.402647,1.6962223,6.308919,28.735458,1.0048811,2.465538,8.932046,30.825132,0.7112187,12.9115715,9.205929,3.728487,13.401784,0.7112187
356,10.711323,0.38776964,9.298124,10.373384,0.967456,13.321298,0.26283336,1.5528411,14.123256,14.039361,2.4531355,18.071024,0.6948071,3.5436573,19.857784,0.16829957,1.0618618,4.8807325,20.984013,0.39634076,9.110356,6.0879407,2.9531353,10.443126,0.39634076
408,9.838391,0.47660682,7.6497965,9.457479,1.1065154,11.215942,0.42008635,1.6766446,11.383868,12.747408,2.7215192,15.455512,0.96502763,3.71695,16.336296,0.36407617,1.3466852,4.8637943,16.816202,0.48998138,7.5083723,5.377327,2.2880058,9.599772,0.48998138
357,10.700476,0.40506825,8.86656,10.362013,1.0001255,12.896194,0.29084226,1.5724373,13.406797,14.023335,2.529305,17.639008,0.75110173,3.5831122,19.056625,0.19898269,1.114003,4.849888,19.89463,0.41447884,8.69124,5.9204373,2.7883465,10.43265,0.41447884
420,9.582355,0.5676896,11.844628,9.188567,1.2591116,14.858903,0.6059205,2.2443771,18.336996,12.367656,3.0750446,18.843342,1.255048,4.896424,23.58791,0.644657,1.9606224,7.330501,27.384586,0.58735114,11.579422,7.4764814,3.5882766,9.352264,0.58735114
368,10.470778,0.67544764,10.996159,10.121155,1.471836,14.744007,0.83032006,2.501762,16.93579,13.683799,3.7075734,19.318373,1.6094569,5.5862746,22.749247,0.9875773,2.3522353,7.9627194,25.257189,0.70458317,10.75746,7.60341,3.0348704,10.210807,0.70458317
114,16.220331,0.5876604,10.880687,16.107342,1.453991,17.888845,0.6480348,2.2397437,16.744875,22.07913,4.0293493,25.750887,1.4631953,5.496689,25.599947,0.7107715,1.9981449,7.1272492,24.96727,0.608902,10.645544,8.0604725,3.1484342,15.750522,0.608902
917,4.3398314,0.6634299,5.7406535,3.696104,1.1670803,6.0929933,0.806003,1.9869248,8.205895,4.581567,2.2596402,7.144719,1.3218555,3.508351,9.606968,0.9522725,1.9697872,5.139324,11.969046,0.69138885,5.648276,4.0759478,1.3918878,4.2654357,0.69138885
119,16.00775,0.6826095,14.71953,15.887761,1.610297,21.684027,0.8446674,2.7422733,23.063341,21.77266,4.4842935,29.482517,1.735618,6.7183795,32.740456,1.0080873,2.5212657,9.505542,34.555756,0.7124615,14.359965,10.269217,4.207234,15.546129,0.7124615
854,4.7858677,0.6705516,5.833623,4.1575413,1.212163,6.489685,0.82044846,2.0184207,8.360567,5.2351046,2.431181,7.808125,1.3741069,3.6695127,10.095584,0.97332525,2.0072885,5.2486672,12.2053795,0.69920397,5.73899,4.2293997,1.3881146,4.6999936,0.69920397
553,7.712879,0.39782935,8.941682,7.222952,0.88900965,11.092203,0.2789517,1.5568419,13.531552,9.586056,2.0534916,14.054359,0.6446615,3.245078,17.365152,0.18570726,1.0867068,4.823455,20.084352,0.4068832,8.764211,5.4729204,2.8425078,7.542815,0.4068832
833,4.9330015,0.44729367,7.099342,4.310321,0.84227806,7.5652895,0.36474603,1.545391,10.467662,5.4517655,1.6728015,8.891303,0.6797669,2.8174477,12.231772,0.28911066,1.1839361,4.4042783,15.420411,0.45894575,6.9726157,4.2587733,2.190298,4.8432503,0.45894575
517,8.187094,0.6799479,8.753634,7.7217226,1.4030617,11.254677,0.8393487,2.3444846,13.219226,10.292814,3.316623,14.516217,1.5571272,4.9348774,17.366756,1.0005128,2.255569,6.960649,19.609354,0.70953226,8.581538,6.1984825,2.290586,8.0022,0.70953226
698,6.136706,0.49017498,5.3443136,5.567319,0.9838056,6.936936,0.44663706,1.4737785,7.546899,7.2364674,2.107907,9.065891,0.8742369,2.8795226,10.127928,0.40190423,1.2177011,3.7823703,10.961505,0.50439477,5.261379,3.8003304,1.4999499,6.0137057,0.50439477
960,4.0619464,0.4137969,5.685075,3.4102094,0.72783464,5.8405695,0.30549625,1.3118902,8.113443,4.1775784,1.3387942,6.7252765,0.5341597,2.2434146,9.296121,0.21583419,0.93732744,3.498217,11.827756,0.42364827,5.594039,3.438193,1.7414781,3.9944787,0.42364827
925,4.2788715,0.46864676,6.5618534,3.633271,0.8347132,6.6454463,0.40477037,1.5517377,9.572766,4.492705,1.5719805,7.597637,0.7050461,2.702356,10.83401,0.34277108,1.2337519,4.2910175,14.055916,0.48153976,6.449061,3.9396825,1.9920007,4.2060103,0.48153976
965,4.042859,0.40835312,4.546136,3.3906243,0.7174382,4.962478,0.29631686,1.1623365,6.2230463,4.1499376,1.316832,5.907558,0.5182876,1.9875033,7.4696064,0.20521568,0.81479335,2.8561475,8.93406,0.4179282,4.481315,2.9541047,1.3409889,3.9758604,0.4179282
60,17.707788,0.49957967,17.780863,17.63982,1.3260639,25.63245,0.46534044,2.3406453,28.060741,24.215244,3.7429342,34.375633,1.2061011,5.843333,39.24292,0.42916557,1.8867654,8.600453,42.13367,0.5144035,17.314232,11.351906,5.6451254,17.179888,0.5144035
934,4.240778,0.41820973,4.521897,3.5940394,0.747806,5.0728583,0.31303298,1.1840813,6.1829476,4.437242,1.4001868,6.1337676,0.5567449,2.0598946,7.5628815,0.2247067,0.8497582,2.896618,8.87257,0.42828822,4.4576063,2.995602,1.3196287,4.1688724,0.42828822
387,10.188447,0.6036281,7.8766713,9.824951,1.3403726,11.6323185,0.6817161,2.0497594,11.761337,13.2660265,3.3316607,16.072659,1.3858532,4.539533,16.940899,0.76346356,1.8939103,5.9059544,17.39095,0.62618846,7.729069,5.8487306,2.132842,9.938058,0.62618846
292,11.953471,0.60320055,8.834127,11.673718,1.3888317,13.546505,0.68081516,2.1318362,13.35293,15.86973,3.5911837,18.994799,1.4287562,4.8972626,19.635263,0.76205885,1.9526376,6.3661337,19.812706,0.625725,8.659736,6.5515285,2.445897,11.641938,0.625725
466,8.901795,0.6804441,9.391549,8.473324,1.4301863,12.286752,0.84034145,2.3983936,14.278271,11.356658,3.4576375,15.96066,1.5811814,5.1533165,18.938997,1.0019292,2.293027,7.2774305,21.219664,0.71007824,9.2010565,6.6160407,2.4955301,8.69403,0.71007824
655,6.5296736,0.58034754,9.054325,5.979497,1.1592891,10.30788,0.63260233,2.0851576,13.718587,7.82179,2.5425713,12.51607,1.1829457,4.1312714,16.657017,0.68654966,1.8719903,6.2845325,20.368763,0.60100174,8.873615,5.708916,2.655565,6.3952847,0.60100174
272,12.336166,0.68639624,10.682353,12.07354,1.5400789,15.605913,0.85220665,2.5122442,16.416838,16.431637,4.0426917,21.293947,1.682683,5.813581,23.29774,1.0187649,2.3803706,7.927115,24.469065,0.7166317,10.453287,7.7904725,2.8596196,12.011009,0.7166317
735,5.7671022,0.67464304,6.571627,5.180287,1.2810439,7.769037,0.82870126,2.1170795,9.589039,6.6867824,2.7321956,9.646186,1.4422537,4.061797,12.015862,0.98524785,2.0866356,5.731607,14.080739,0.70369875,6.458585,4.7582197,1.6037302,5.6545844,0.70369875
759,5.571588,0.59325975,4.994758,4.9758763,1.1299852,6.2924724,0.6598519,1.6981561,6.966438,6.3964844,2.3599718,8.103456,1.1762729,3.2117498,9.187342,0.72929335,1.6068815,4.1981173,10.073144,0.61495817,4.919911,3.7782154,1.2136893,5.464521,0.61495817
817,5.088906,0.56042707,4.5738444,4.472465,1.044492,5.636036,0.5906483,1.5523386,6.268895,5.681812,2.109877,7.1793547,1.0434341,2.8579006,8.171875,0.62071526,1.4242418,3.725711,9.00436,0.57953274,4.5084167,3.4308813,1.1329453,4.9949985,0.57953274
980,3.9457116,0.66698956,5.023469,3.2910578,1.1409725,5.263097,0.81323576,1.9002596,7.0140796,4.0095015,2.1351078,6.123168,1.3034463,3.2513297,8.165869,0.96284217,1.9129014,4.687602,10.146092,0.6952936,4.9479666,3.6947372,1.1437141,3.8810875,0.6952936
469,8.838012,0.60736126,10.977331,8.406261,1.3023534,13.594695,0.6895782,2.3028476,16.904665,11.261795,3.1200416,17.156235,1.3572842,4.9322686,21.591688,0.7757082,2.0824454,7.338721,25.209927,0.63023716,10.739214,7.0728006,3.2238874,8.632311,0.63023716
927,4.2693458,0.42759234,6.1485214,3.6234577,0.765477,6.3405337,0.3293369,1.398219,8.884635,4.47883,1.4375788,7.3193145,0.58472764,2.4321196,10.188943,0.24436213,1.030581,3.817569,13.005767,0.43816403,6.0461416,3.694183,1.8884851,4.196724,0.43816403
144,15.301355,0.52905357,16.241348,15.1571045,1.3348349,22.6553,0.5252769,2.3624215,25.552029,20.752117,3.6475623,29.992764,1.2625246,5.719163,35.025887,0.51927316,1.9642377,8.450644,38.329914,0.5458691,15.829332,10.338683,5.0936275,14.866736,0.5458691
587,7.331465,0.46462956,6.2267256,6.8218727,0.99432486,8.441607,0.39711928,1.5062655,9.014818,9.017311,2.2524507,11.24845,0.8428485,3.1003025,12.380743,0.33228087,1.1901994,4.096238,13.204504,0.47728342,6.122396,4.333562,1.831001,7.1731157,0.47728342
794,5.2535934,0.6715379,6.341902,4.644003,1.2449096,7.2244697,0.82244104,2.082215,9.206561,5.925276,2.575999,8.799941,1.4051702,3.8921225,11.268896,0.976211,2.05542,5.570841,13.497162,0.70028716,6.2346845,4.548081,1.5491606,5.155245,0.70028716
284,12.081367,0.3728916,10.91079,11.807382,0.97404796,15.6753845,0.23988484,1.6132761,16.79465,16.057627,2.5527306,21.213556,0.6760765,3.7847345,23.572628,0.14472428,1.0731941,5.330135,25.042856,0.38077632,10.674722,7.000369,3.5094411,11.765295,0.38077632
560,7.6587267,0.45377693,6.5007243,7.166001,0.98842293,8.886909,0.37672645,1.5051801,9.470987,9.505318,2.2693212,11.880638,0.82001,3.1377666,13.058586,0.30484894,1.1667213,4.162125,13.900646,0.465798,6.3894887,4.4864006,1.9373201,7.4903383,0.465798
399,9.9312525,0.42927426,11.461327,9.554981,1.0230066,14.7845745,0.33229876,1.817232,17.704346,12.88505,2.5303798,19.007828,0.811044,4.017943,23.190266,0.24799909,1.350012,5.9968534,26.424162,0.4399358,11.208177,7.0259423,3.6543243,9.689525,0.4399358
474,8.771328,0.42319766,10.403394,8.336147,0.97425133,13.068068,0.32165387,1.732841,15.955192,11.162603,2.330668,16.618242,0.758048,3.7192106,20.581177,0.23502208,1.2735296,5.5725822,23.767855,0.43353674,10.18281,6.345769,3.3094087,8.567782,0.43353674
264,12.524755,0.4164061,9.669914,12.270421,1.0687116,14.706473,0.30994225,1.6633769,14.739973,16.708185,2.8073552,20.493801,0.83022684,3.9261377,21.508524,0.22105159,1.2066323,5.246865,21.92143,0.4263914,9.4712515,6.569985,3.0414429,12.192837,0.4263914
523,8.085614,0.4994011,10.511708,7.6149855,1.0863425,12.655251,0.46498308,1.9618698,16.134476,10.141617,2.5307045,15.765742,0.9839119,4.1057277,20.254211,0.42864034,1.6111561,6.2376833,24.04019,0.5142133,10.28784,6.435938,3.2611034,7.903918,0.5142133
694,6.164858,0.40499702,6.11056,5.5968256,0.8355379,7.6391253,0.290724,1.3330922,8.821446,7.278373,1.7961271,9.771483,0.61079574,2.6219113,11.492829,0.19884895,0.9354645,3.653448,12.909291,0.41440406,6.0091224,3.9897227,1.8690253,6.0410495,0.41440406
610,7.04884,0.39145157,7.0573006,6.524791,0.85068583,9.0282135,0.26867732,1.3859919,10.397672,8.595823,1.9122579,11.658517,0.6030886,2.834963,13.691945,0.17453162,0.94690645,3.999709,15.313738,0.40019765,6.93168,4.5263147,2.2032022,6.8990426,0.40019765
714,5.943933,0.4853859,8.42416,5.3653655,0.9654993,9.363101,0.43720457,1.7672029,12.6717415,6.949643,2.047112,11.239036,0.84977007,3.405386,15.169212,0.38834223,1.4345527,5.2734003,18.776518,0.49930388,8.261377,5.09448,2.5906334,5.826429,0.49930388
235,13.100308,0.41449246,13.637831,12.870665,1.078513,18.847317,0.3066786,1.892805,21.288897,17.550707,2.8644555,24.934183,0.83570194,4.467775,29.058058,0.21721703,1.3728626,6.5701137,31.864101,0.42437947,13.314537,8.494338,4.3877034,12.7475815,0.42437947
411,9.790378,0.5872731,7.568262,9.407062,1.2997507,11.108522,0.6472176,1.975402,11.248188,12.676224,3.194848,15.319622,1.3233923,4.336865,16.158663,0.70948946,1.8055103,5.6272674,16.60957,0.6084834,7.4290414,5.5990686,2.0661297,9.553365,0.6084834
644,6.690921,0.5461035,5.624314,6.1487837,1.1080792,7.5122294,0.5606561,1.6552227,8.012383,8.062136,2.4434752,9.954755,1.0800567,3.3034406,10.937815,0.5739015,1.4758794,4.2900243,11.673291,0.56414133,5.5347366,4.131495,1.5040839,6.551789,0.56414133
150,15.196286,0.36769742,12.703555,15.048292,1.0309496,19.239088,0.23212902,1.6985328,19.75254,20.600037,2.8553433,26.577215,0.7151411,4.195077,28.586807,0.13708721,1.1233687,5.857231,29.533,0.37535003,12.41086,8.266699,4.108312,14.765654,0.37535003
949,4.131975,0.66042936,5.608375,3.4821248,1.1453794,5.8377886,0.7998875,1.9617218,7.9858775,4.2791133,2.1775293,6.771113,1.2971582,3.4110327,9.233274,0.94329214,1.9451284,5.033675,11.632772,0.68809944,5.51918,3.9660683,1.3608689,4.0627785,0.68809944
872,4.66599,0.42470777,4.7541924,4.033256,0.7870478,5.535276,0.32428476,1.2306926,6.5675416,5.058939,1.5303056,6.832867,0.59887075,2.2131708,8.226157,0.23820499,0.89752007,3.065023,9.462123,0.43512645,4.6847734,3.1806862,1.3894249,4.5832424,0.43512645
374,10.351295,0.45100805,12.07842,9.995822,1.0756012,15.607892,0.37159073,1.9183713,18.722584,13.507055,2.684778,20.063936,0.894296,4.27441,24.533035,0.29806697,1.4735422,6.3949757,27.969875,0.4628707,11.805794,7.420144,3.836035,10.095389,0.4628707
719,5.9119163,0.3918346,6.9581733,5.3318424,0.79974806,8.186179,0.26928893,1.3781517,10.232635,6.9020305,1.6961633,10.132933,0.5620303,2.6698027,12.762581,0.17518911,0.9419255,3.9585109,15.062173,0.40059894,6.835148,4.2890387,2.1799421,5.7953186,0.40059894
